id;name;description
1;curiously over illiterate;boohoo
2;rule;prickly hmph
3;oh why;into which poorly
4;vice;once
5;plumber;shirk
6;shush woot after;oof
7;forecast apologise aha;feline remorseful atop
8;thoughtfully;oil
9;after peaceful;apostrophize
10;ride pfft overconfidently;upwardly
11;gee;nippy
12;qua secrecy;bonfire
13;avalanche apropos;warped
14;up lasting but;obsess
15;boohoo well;shallow charm
16;seldom so woot;emphasize
17;dwell;eyebrow
18;once;however
19;indeed bleakly;rot even round
20;aggressive brilliant graduate;ah fatally
21;how or which;yellowish
22;emotional but anti;quick
23;lasting;woot per
24;worth geez;honorable
25;too finally;scrutinise drat pish
26;deep tedious;winged
27;somber besides loaf;zowie oof regularly
28;able;defiantly advanced
29;pish;free foolishly
30;ugh middle;whoever regular oof
