id;placed_date;status;total_amount
1;2026-09-03T06:37:16;PENDING;31757.24
2;2026-09-03T10:44:50;PROCESSING;18236.28
3;2026-09-02T19:13:39;PROCESSING;14058.87
4;2026-09-03T14:34:12;DELIVERED;12721.13
5;2026-09-03T04:42:52;PENDING;14848.06
6;2026-09-02T21:34:12;CANCELLED;27694.91
7;2026-09-02T17:33:29;DELIVERED;24052.26
8;2026-09-03T13:59:10;PENDING;32309.33
9;2026-09-03T10:26:05;PROCESSING;13607.17
10;2026-09-03T11:58:51;CANCELLED;31557.43
11;2026-09-03T01:59:29;PROCESSING;19354.49
12;2026-09-03T04:05:49;PENDING;25603.85
13;2026-09-03T11:46:53;PAID;19869.68
14;2026-09-03T09:09:23;PROCESSING;4313
15;2026-09-03T09:12:31;PENDING;32102.69
16;2026-09-03T05:36:35;SHIPPED;16476.97
17;2026-09-03T10:14:45;PROCESSING;3871.98
18;2026-09-03T07:17:52;PROCESSING;8621.78
19;2026-09-02T17:15:53;PROCESSING;20958.82
20;2026-09-02T22:11:18;DELIVERED;7660.4
21;2026-09-02T18:12:51;SHIPPED;19937.65
22;2026-09-02T23:57:20;PROCESSING;7724.03
23;2026-09-03T05:06:42;SHIPPED;19352.9
24;2026-09-02T22:19:18;PAID;1985.97
25;2026-09-03T04:22:43;SHIPPED;13321.98
26;2026-09-03T12:33:19;DELIVERED;21502.58
27;2026-09-03T08:43:41;SHIPPED;31794.64
28;2026-09-02T23:30:22;DELIVERED;25964.47
29;2026-09-03T03:53:57;DELIVERED;6684.83
30;2026-09-03T11:16:37;CANCELLED;904.23
