id;quantity;price_at_purchase
1;31310;4741.44
2;14800;21568.53
3;25116;1207.16
4;28678;26124.12
5;30316;20911.8
6;24672;31366.32
7;20261;193.29
8;7579;13622.64
9;1467;23345.58
10;29342;22084.94
11;3935;26605.21
12;31470;27825.48
13;2081;18065.28
14;11872;3311.95
15;30270;21111.16
16;20226;19166.43
17;11352;13827.58
18;16796;5240.67
19;7299;2765.58
20;7254;11946.13
21;20575;10497.31
22;12493;15737.62
23;21397;32602.28
24;17292;24939.06
25;7936;12607.23
26;19526;18238.84
27;22859;8892.69
28;7249;22992.42
29;3538;18277.14
30;17259;1409.08
