id;sku;name;description;price;stock_quantity;status;image;image_content_type
1;reassuringly geez;warmly wedding opposite;../fake-data/blob/hipster.txt;13056.91;32633;OUT_OF_STOCK;../fake-data/blob/hipster.png;image/png
2;than till;reiterate rusty;../fake-data/blob/hipster.txt;27359.76;28960;OUT_OF_STOCK;../fake-data/blob/hipster.png;image/png
3;smug;who only;../fake-data/blob/hipster.txt;2088.09;17945;IN_STOCK;../fake-data/blob/hipster.png;image/png
4;inasmuch heavenly jubilantly;hungrily afterwards;../fake-data/blob/hipster.txt;30775.92;30442;IN_STOCK;../fake-data/blob/hipster.png;image/png
5;aboard leap accountability;against seagull lest;../fake-data/blob/hipster.txt;9794.02;4715;IN_STOCK;../fake-data/blob/hipster.png;image/png
6;aha about wry;questionably;../fake-data/blob/hipster.txt;12289.88;22942;PRE_ORDER;../fake-data/blob/hipster.png;image/png
7;tight;sanity bah;../fake-data/blob/hipster.txt;11110.99;25241;OUT_OF_STOCK;../fake-data/blob/hipster.png;image/png
8;lazy;feminize;../fake-data/blob/hipster.txt;23891.75;16760;OUT_OF_STOCK;../fake-data/blob/hipster.png;image/png
9;duh fast;always;../fake-data/blob/hipster.txt;10644.63;13890;IN_STOCK;../fake-data/blob/hipster.png;image/png
10;mixture supposing hopelessly;ouch whole celsius;../fake-data/blob/hipster.txt;18349.73;21650;OUT_OF_STOCK;../fake-data/blob/hipster.png;image/png
11;however eggplant;pro ack before;../fake-data/blob/hipster.txt;30239.32;18481;PRE_ORDER;../fake-data/blob/hipster.png;image/png
12;evil;perfection;../fake-data/blob/hipster.txt;11618.7;5647;OUT_OF_STOCK;../fake-data/blob/hipster.png;image/png
13;boohoo oh;majestic;../fake-data/blob/hipster.txt;19536.24;12320;PRE_ORDER;../fake-data/blob/hipster.png;image/png
14;till;husk;../fake-data/blob/hipster.txt;29665.5;32541;OUT_OF_STOCK;../fake-data/blob/hipster.png;image/png
15;wearily;barring patroller immediately;../fake-data/blob/hipster.txt;3064.73;27223;OUT_OF_STOCK;../fake-data/blob/hipster.png;image/png
16;tag airline;tightly but;../fake-data/blob/hipster.txt;26207.84;3368;OUT_OF_STOCK;../fake-data/blob/hipster.png;image/png
17;gullible boohoo juvenile;hence phew;../fake-data/blob/hipster.txt;22550.34;2160;PRE_ORDER;../fake-data/blob/hipster.png;image/png
18;capsize where even;following;../fake-data/blob/hipster.txt;25941.85;2100;OUT_OF_STOCK;../fake-data/blob/hipster.png;image/png
19;leading proper invite;bonnet;../fake-data/blob/hipster.txt;23085.41;32142;IN_STOCK;../fake-data/blob/hipster.png;image/png
20;swelter whenever submitter;mouser;../fake-data/blob/hipster.txt;30418.75;13918;IN_STOCK;../fake-data/blob/hipster.png;image/png
21;unlike grandson smooth;often;../fake-data/blob/hipster.txt;20594.52;10311;IN_STOCK;../fake-data/blob/hipster.png;image/png
22;vista;following unless huzzah;../fake-data/blob/hipster.txt;7490.89;27433;IN_STOCK;../fake-data/blob/hipster.png;image/png
23;strident etch;lean er;../fake-data/blob/hipster.txt;16809;5401;IN_STOCK;../fake-data/blob/hipster.png;image/png
24;impressionable searchingly;below orient ugh;../fake-data/blob/hipster.txt;19901.14;23423;PRE_ORDER;../fake-data/blob/hipster.png;image/png
25;abacus boohoo;vibrant;../fake-data/blob/hipster.txt;9587.16;20074;PRE_ORDER;../fake-data/blob/hipster.png;image/png
26;boo;than dock;../fake-data/blob/hipster.txt;4437.7;11566;IN_STOCK;../fake-data/blob/hipster.png;image/png
27;despite bitterly sheepishly;what knavishly hype;../fake-data/blob/hipster.txt;28902.73;13512;PRE_ORDER;../fake-data/blob/hipster.png;image/png
28;with;wordy;../fake-data/blob/hipster.txt;27198.36;23593;OUT_OF_STOCK;../fake-data/blob/hipster.png;image/png
29;progress quirkily swelter;cutover recklessly turbulent;../fake-data/blob/hipster.txt;9685.24;13965;PRE_ORDER;../fake-data/blob/hipster.png;image/png
30;ewX;pro ouch quietly;../fake-data/blob/hipster.txt;7560.06;18256;PRE_ORDER;../fake-data/blob/hipster.png;image/png
